k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.286498125361176, 0.3585297358036041, 0.1402778556511021, -0.1449813205003739, 1.4693617281935256, -0.1810734379291535, 0.9843734166213027, -0.1847142088413239, 0.1003173011675644, -0.1588247376680374, 0.1735006325340652, -0.1106108087301254, -0.0193644836881943, -0.0495511102676392, 0.2163069150722218, 0.0143013065494597, 1.4222659813026832, 0.0716812317073345, 1.2481389967813752, 0.1151265692710877, 0.2001579036847496, 0.1396486726403236, 0.2532690362793731, 0.1430705827474594, 0.4208873320377922, 0.1260560718178749, 0.1956275877681732, 0.0918621835112572, 0.1679262503087044, 0.0458559845387936, 0.5558503546471644, -0.0051560993492603, -0.0424309057191525, -0.0537312361598015, -0.0057658556702347, -0.0926647815108299, -0.0163793065783691, -0.1158709037303925, -0.1002952122216949, -0.1191997039318085, -0.0344639603370209, -0.1011183965206146, 0.1801595016478348, -0.0631817239522934, 0.3636491650193214, -0.0102160046994686, 0.1617760713800923, 0.0498596974462271, 0.1313549613410702, 0.1066506919264793, 0.4242972157681084, 0.1484162849187851, 0.2802737002200699, 0.1637837183475494, 0.4250819530453491, 0.1441148561239242, 0.1628052014972572, 0.0865899515151978, 0.1774060771185589, 0.0390496779978275, 0.12070763961977, -0.1002250346541405, -0.0096974634662628, -0.1671276646852493, 0.2017817467276383, -0.1350657451152802]|29414.8828125000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[4.419297974275322, 0.7238475573062897, 0.3792854925558186, 0.4940366190671921, 0.762777274610762, -0.5640462446212768, 1.7921372315474502, -0.2093217442929745, 0.2076566386357117, 0.4390125316381455, 0.8340241663551712, -0.2213177490234375, 0.5550784989854507, -0.1571774888038635, 0.5999519727504444, -0.3630772466026246, 1.5441920058588432, 0.125492364615202, 1.4740121243610642, 0.1849811342358589, 0.4723337819711113, 0.0278986808657646, 0.8549705939156341, -0.0951804029941559, 0.4575747769332981, 1.2714155879616738, 0.2932655167904854, 1.2935663279891014, -0.496817351967144, -0.1683772648870945, 0.1498856224770594, 0.5030937199294567, -0.3607591074899349, 0.8397554424405098, 0.3727247711417465, -0.3109725150465965, -0.0374885001418304, -0.9148672926425934, 0.4772298670286407, -0.1232204493321478, 0.2747438665157776, -0.1407393771409988, 0.6812271400450516, 0.3452158313989639, 0.5508030557482719, 0.6741253067553044, 0.0385374854907528, -0.5302466801553964, 0.1599547376686802, 0.2477606800198555, 0.9402144573414422, -0.9421493965387344, 0.2103453298039055, 0.5322800767421723, 0.5380009856190491, 0.6372945946455002, 0.4924177248145943, 1.0301469159126282, -0.5204660251420308, -0.2411820064485073, 0.2756564106196785, 0.7945881453156471, 0.1285480148061752, -0.6094738501310348, -0.4830669790681076, -0.1434668102487922]|10089.6035156250000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[5.4300095249879075, 1.3771681678295136, 1.027407922403536, 0.1373807829618454, 4.418117469312911, -0.9195337998867035, 1.4531613847800247, -0.5239912639558315, -0.0771130454405975, 0.1876328331232071, 0.6176121883488083, -0.4028433221578598, 0.4069885089656524, -0.2743476885557175, 0.5104228905713749, -0.4287204975448549, 1.4984628343741344, 0.0957159683853388, 1.4564265990718863, 0.1761726862564683, 0.4693447110154474, 0.0282958327839151, 0.8568768102930265, -0.0930882531870157, 0.459052767465592, 1.2719473312422633, 0.2929131866338834, 1.2926994052063674, -0.4976167671345651, -0.1684115763568843, 0.1513349183787528, 0.5066785006597638, -0.3545301110491667, 0.8489320366457105, 0.352940911069253, -0.296019743680954, -0.0202684966114473, -0.8961598104983568, 0.4964061043137779, -0.1047832798399031, 0.2797176254591565, -0.1278212419897318, 0.6893597942872691, 0.3473575522471219, 0.5459711777455389, 0.6616460033506155, 0.018121601979448, -0.5584432031214237, 0.1246185784990063, 0.2064257790148258, 0.8945072203660107, -0.9901640112698078, 0.1624451485402203, 0.4871555683016777, 0.4984004531171131, 0.6058686454594135, 0.471507076185525, 1.0215501910820604, -0.5157340678070057, -0.2231280519813299, 0.3057883299291754, 0.8341440413892269, 0.1733608468338489, -0.5650865319371223, -0.4461679488595199, -0.1221838896349073]|6657.4921875000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
      14|[8.629324745105476, 4.122848634123802, 2.6693858845100022, -0.9600179097801447, 2.6527108121861787, 0.2319643902406097, 1.3097728880681745, -0.5469637974351644, 0.3243949058786201, -0.7080759066343307, 1.9837979403252537, -1.2074091904982924, -0.11911980904283, 0.0481152920797467, 0.7082503934236807, 0.9133354117907584, 1.2477510059039043, -0.4245574264973402, 1.323498875842955, 0.2143355789408088, 0.6734505240716779, -0.4379715825384483, 0.2399843975224871, -2.2823544170428067, -2.150145320360779, -1.0109725659899413, -3.7043652913627043, -1.296212496953085, -3.938591976832646, -3.548844800498482, 31.151302146999996, -3.9992888146266345, -1.9909848478630696, -0.6285589044168591, -1.2621575821044655, -2.119352321624756, 1.1110753449412871, -0.5377156115323305, 0.3329865521663895, 0.2510025966726244, -1.023897858927526, -1.8402037522941828, 0.1027785492225337, 0.992912258701399, 0.0463739449567377, 0.4799169138818979, -0.2188449371948704, -1.1514545227587223, -1.5067290367728003, -2.406788453012705, -4.336506167075624, 13.896058038324117, -6.045196132647314, -4.504625226855278, -4.419388447317858, 34.95514378368854, -4.151182102959274, -4.697685912735761, -6.708799506226586, -4.455241841748357, -2.027707506775794, 1.4275728990137577, -1.6248467486448943, 1.759990245550871, 1.6823873173270751, 3.3451453852280975]|1628.4022216796875000|     16.00000000|[653, 47, 0, 47]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[8.629324745105476, 4.122848634123802, 2.6693858845100022, -0.9600179097801447, 2.6527108121861787, 0.2319643902406097, 1.3097728880681745, -0.5469637974351644, 0.3243949058786201, -0.7080759066343307, 1.9837979403252537, -1.2074091904982924, -0.11911980904283, 0.0481152920797467, 0.7082503934236807, 0.9133354117907584, 1.2477510059039043, -0.4245574264973402, 1.323498875842955, 0.2143355789408088, 0.6734505240716779, -0.4379715825384483, 0.2399843975224871, -2.2823544170428067, -2.150145320360779, -1.0109725659899413, -3.7043652913627043, -1.296212496953085, -3.938591976832646, -3.548844800498482, 31.151302146999996, -3.9992888146266345, -1.9909848478630696, -0.6285589044168591, -1.2621575821044655, -2.119352321624756, 1.1110753449412871, -0.5377156115323305, 0.3329865521663895, 0.2510025966726244, -1.023897858927526, -1.8402037522941828, 0.1027785492225337, 0.992912258701399, 0.0463739449567377, 0.4799169138818979, -0.2188449371948704, -1.1514545227587223, -1.5067290367728003, -2.406788453012705, -4.336506167075624, 13.896058038324117, -6.045196132647314, -4.504625226855278, -4.419388447317858, 34.95514378368854, -4.151182102959274, -4.697685912735761, -6.708799506226586, -4.455241841748357, -2.027707506775794, 1.4275728990137577, -1.6248467486448943, 1.759990245550871, 1.6823873173270751, 3.3451453852280975]|1628.4022216796875000|      8.00000000|[734, 53, 0, 53]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[7.4961651076543045, 4.802685503363609, 2.896487627731285, -0.9136132388561964, 2.735938804243979, 0.3455356987938285, 1.4428547712602369, -7.004241572245956, 0.4521497878566551, -0.6080297636985779, 2.0395278920347626, -1.2111782136093825, -0.1952440003270097, -0.1101815463230014, 0.4615085174175543, 0.5757170012034476, 0.8207553708712505, -0.9356034188717604, 0.7372792074545882, -0.4350595292821526, -0.0245519335470354, -1.1680879498785361, 4.084481362930813, -3.0230848815012723, -2.8691553158212892, -1.69129998145625, -4.33067319608301, -1.8553658749628812, -4.420135666798847, -3.9453658621573413, 30.843939113705318, -4.2167362445220355, -2.1210996416405354, -0.6770915989950299, -1.2377240717264624, -2.0330137568712234, 1.2463352116557647, -0.367835131958127, 0.5225357747549286, 0.4453172404132784, -0.8389672214486976, -1.6773718497902155, 0.2328572225852656, 1.0821824704576284, 0.0898029471225321, 0.4757739244773984, -0.2688769419088826, -1.2423541243374348, -1.6304121019488105, -2.552589863091707, -4.49186393024682, 13.744730890244245, -6.17891311823062, -4.608310807049275, -4.48299047759511, 34.93811499558389, -4.119788090686916, -4.621500224359334, -6.597390363613175, -4.3240116662532095, -1.89702506816381, 1.5342444483935833, -1.5655924264438807, 1.7532223537378013, 1.6024875890288879, 3.2055440651997924]|1511.6639404296875000|     16.00000000|[749, 54, 0, 54]                                                           | | GPS sucess | actual_k=1
      17|[7.4961651076543045, 4.802685503363609, 2.896487627731285, -0.9136132388561964, 2.735938804243979, 0.3455356987938285, 1.4428547712602369, -7.004241572245956, 0.4521497878566551, -0.6080297636985779, 2.0395278920347626, -1.2111782136093825, -0.1952440003270097, -0.1101815463230014, 0.4615085174175543, 0.5757170012034476, 0.8207553708712505, -0.9356034188717604, 0.7372792074545882, -0.4350595292821526, -0.0245519335470354, -1.1680879498785361, 4.084481362930813, -3.0230848815012723, -2.8691553158212892, -1.69129998145625, -4.33067319608301, -1.8553658749628812, -4.420135666798847, -3.9453658621573413, 30.843939113705318, -4.2167362445220355, -2.1210996416405354, -0.6770915989950299, -1.2377240717264624, -2.0330137568712234, 1.2463352116557647, -0.367835131958127, 0.5225357747549286, 0.4453172404132784, -0.8389672214486976, -1.6773718497902155, 0.2328572225852656, 1.0821824704576284, 0.0898029471225321, 0.4757739244773984, -0.2688769419088826, -1.2423541243374348, -1.6304121019488105, -2.552589863091707, -4.49186393024682, 13.744730890244245, -6.17891311823062, -4.608310807049275, -4.48299047759511, 34.93811499558389, -4.119788090686916, -4.621500224359334, -6.597390363613175, -4.3240116662532095, -1.89702506816381, 1.5342444483935833, -1.5655924264438807, 1.7532223537378013, 1.6024875890288879, 3.2055440651997924]|1511.6639404296875000|      8.00000000|[830, 60, 0, 60]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[6.836787890361519, 4.385489616990089, 2.214346264110527, -0.7349457084387541, 2.8776611853589387, 0.4319456997141242, 1.4594556818344346, -7.067649090215564, 0.3029527160659599, -0.3397463369369507, 1.7182753969843323, -1.6111840012203902, -0.664996490847487, -0.638303196541965, -0.1118707607654291, -0.0287120053730905, 0.1999658429781841, 6.741467675641179, 0.1269467184409163, -1.020249110199511, 0.5091783349313581, -1.670288434154354, 3.636432056061306, -3.4112888004351407, -3.1939679665018312, -1.9513058429770171, -4.526500292783679, -1.9895372565556317, -4.496867348622578, -3.9703203040921653, 30.86393421077625, -4.159478785954416, -2.03480647327458, -0.5702049141004681, -1.1185839384647818, -1.9095564144849777, 1.3668539556476165, -0.2565873689204454, 0.6193055025214425, 0.5236816275678575, -0.781554176131763, -1.6420298605412245, 0.2464206162004519, 1.075598016595468, 0.0659069290793717, 0.4384193918481469, -0.3150602076545224, -1.2922440986335277, -1.678714532608343, -2.5941826324164867, -4.522152362040272, 13.729463558159768, -6.176647936139696, -4.587490843161941, -4.444299649808188, 34.99216196171939, -4.0547345755506745, -4.55147737313062, -6.529791074493931, -4.267032106891275, -1.8588533037006236, 1.5465398444607854, -1.5836676560439527, 1.7047009207122028, 1.530145416763835, 3.1254788595065475]|912.0123291015625000|     16.00000000|[871, 63, 0, 63]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      19|[7.4760211219060135, 4.868017528653144, 3.04208311866375, -0.9404119043797254, 2.706738026832518, 0.3121029916033149, 1.4015337506868593, -7.058851788304747, 0.3772995042935181, -0.2065818119049072, 1.898624657552951, -1.3993389758002013, -0.4404334584587999, -0.4218550534173846, 0.0746262569757742, 0.1060225656069815, 0.2621208326677726, 6.712101428285241, -0.0102372309103944, -1.278261702992022, 0.1211098675527418, -2.193508377200924, 2.977291588417568, -4.202750387387351, -4.109888700907349, -2.979806876759976, -5.652060218816699, -3.193480628328398, -5.757951547574299, -5.265401681121585, 46.19810455226795, -5.44918513532728, -3.2850961518481885, -1.7578544025495648, -2.2222519129368274, -2.9104746836423874, 0.4842631849261809, -1.008985919430852, 0.0048400870436898, 0.0504853296838701, -1.1146883206763645, -1.8408357291668653, 0.1718600782661486, 1.1111937726195902, 0.1940712949670136, 0.6387319317832589, -0.0650393162265286, -1.0160305719077587, -1.399849582666708, -2.941857598274946, -4.303038788608303, 13.891864489279687, -6.083189715777033, -4.569714417234064, -4.502680134389181, 34.863905432149764, -4.239713060658096, -4.77351303447038, -6.499118669578837, -4.48366615690291, -2.0278479539453365, 1.453318835683167, -1.5800138780478745, 1.813148651253432, 1.7303968470368911, 3.3741121250018478]|888.2218627929687500|     32.00000000|[925, 67, 0, 67]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      20|[7.4760211219060135, 4.868017528653144, 3.04208311866375, -0.9404119043797254, 2.706738026832518, 0.3121029916033149, 1.4015337506868593, -7.058851788304747, 0.3772995042935181, -0.2065818119049072, 1.898624657552951, -1.3993389758002013, -0.4404334584587999, -0.4218550534173846, 0.0746262569757742, 0.1060225656069815, 0.2621208326677726, 6.712101428285241, -0.0102372309103944, -1.278261702992022, 0.1211098675527418, -2.193508377200924, 2.977291588417568, -4.202750387387351, -4.109888700907349, -2.979806876759976, -5.652060218816699, -3.193480628328398, -5.757951547574299, -5.265401681121585, 46.19810455226795, -5.44918513532728, -3.2850961518481885, -1.7578544025495648, -2.2222519129368274, -2.9104746836423874, 0.4842631849261809, -1.008985919430852, 0.0048400870436898, 0.0504853296838701, -1.1146883206763645, -1.8408357291668653, 0.1718600782661486, 1.1111937726195902, 0.1940712949670136, 0.6387319317832589, -0.0650393162265286, -1.0160305719077587, -1.399849582666708, -2.941857598274946, -4.303038788608303, 13.891864489279687, -6.083189715777033, -4.569714417234064, -4.502680134389181, 34.863905432149764, -4.239713060658096, -4.77351303447038, -6.499118669578837, -4.48366615690291, -2.0278479539453365, 1.453318835683167, -1.5800138780478745, 1.813148651253432, 1.7303968470368911, 3.3741121250018478]|888.2218627929687500|     16.00000000|[1005, 73, 0, 73]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[5.432101797031136, 5.050216693878173, 2.347745571838341, -0.6391621618717909, 3.0048492867698045, 0.5766785922273994, 1.6026733646728746, -6.948866831623018, 0.3720019538276064, -0.3465878623723984, 1.9479390484208996, -1.8445181402098387, -1.043862299096007, -1.1790969581529498, -0.8261653284696299, -0.922760159727186, -0.8745122058530403, 5.491485206857323, -1.2882045647040345, 13.976475197337567, -1.1857629771433031, -3.4716093446081504, 1.7553021951833152, -5.343568268017844, -5.147572783892273, -3.896181262116879, -6.433276601797045, -3.83039649088867, -6.2463357645981485, -5.605963428672549, 45.9998630353202, -5.515084820352495, -3.232632799167982, -2.081010431535542, -1.9877866417023151, -2.616816307902336, 0.8144102426978637, -0.6650087065249681, 0.340981464731144, 0.3590321112237871, -0.8507419364848514, -1.6350013553351164, 0.3101660403518725, 1.177078936463222, 0.1873944604247093, 0.5641044876351953, -0.1984956208959088, -1.1951797376573086, -1.6082919875329265, -3.1609250377118587, -4.513010812572231, 13.710360716544091, -6.218729113374346, -4.6452553696185355, -4.509198324184497, 34.92903115086257, -4.107822286884903, -4.58786656010896, -6.2808203982804285, -4.260979195609689, -1.8340914779006816, 1.5833470984175801, -1.5445903123919278, 1.7346261255256832, 1.5403888772998382, 3.1102906423434615]|773.7384033203125000|     32.00000000|[1034, 75, 0, 75]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      22|[5.432101797031136, 5.050216693878173, 2.347745571838341, -0.6391621618717909, 3.0048492867698045, 0.5766785922273994, 1.6026733646728746, -6.948866831623018, 0.3720019538276064, -0.3465878623723984, 1.9479390484208996, -1.8445181402098387, -1.043862299096007, -1.1790969581529498, -0.8261653284696299, -0.922760159727186, -0.8745122058530403, 5.491485206857323, -1.2882045647040345, 13.976475197337567, -1.1857629771433031, -3.4716093446081504, 1.7553021951833152, -5.343568268017844, -5.147572783892273, -3.896181262116879, -6.433276601797045, -3.83039649088867, -6.2463357645981485, -5.605963428672549, 45.9998630353202, -5.515084820352495, -3.232632799167982, -2.081010431535542, -1.9877866417023151, -2.616816307902336, 0.8144102426978637, -0.6650087065249681, 0.340981464731144, 0.3590321112237871, -0.8507419364848514, -1.6350013553351164, 0.3101660403518725, 1.177078936463222, 0.1873944604247093, 0.5641044876351953, -0.1984956208959088, -1.1951797376573086, -1.6082919875329265, -3.1609250377118587, -4.513010812572231, 13.710360716544091, -6.218729113374346, -4.6452553696185355, -4.509198324184497, 34.92903115086257, -4.107822286884903, -4.58786656010896, -6.2808203982804285, -4.260979195609689, -1.8340914779006816, 1.5833470984175801, -1.5445903123919278, 1.7346261255256832, 1.5403888772998382, 3.1102906423434615]|773.7384033203125000|     16.00000000|[1114, 81, 0, 81]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[6.193153988288612, 6.84526695728302, 1.1836594683990098, -1.8296431093662977, 2.6039726156939835, 0.9111834647879005, 2.181604398284172, -6.190735208354891, 0.2941290740244257, 0.5070025664567948, 1.883102568697446, -1.9875101002585143, -1.1639213944190927, -0.3637475581094622, 0.3711697955461782, -1.3895677635632455, -1.3041665954728676, 4.843304483667016, -1.9355399152174928, 12.428346473239362, -2.039483999749199, -4.661705722934567, 2.705252949825802, -5.148149790959433, -6.529853848879456, -3.5193243390135467, -7.537628122335375, -4.121825325088576, -5.500691135596531, -3.3764373857343166, 46.084021567641656, -4.9781481200084094, -2.014696998615614, -1.795214534290135, -1.6655910521599262, -4.557431365847588, 0.1954594584914733, -0.3115028864890337, 5.88110560646e-05, 0.0069340336881578, 1.2165679199299435, -1.6148404809832573, 0.6879064533023882, 2.014824602967128, 0.9639195406287193, 0.9758468470349908, 0.1584205981001392, -1.444046161621809, -1.4220066705888041, -4.024460322707892, -6.593411994746914, 12.930850874148309, -7.0373346555572684, -3.9785852856189017, -3.201210276584704, 35.41781680516898, -2.1977380392957917, -2.5629091416671876, -4.379201559970187, -4.673970391526819, -1.6486025833188869, 2.788485543318093, -1.1477363885943204, 2.8428612462989986, 1.4336005773220588, 1.6944743352755904]|733.6876831054687500|     32.00000000|[1142, 83, 0, 83]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      24|[6.193153988288612, 6.84526695728302, 1.1836594683990098, -1.8296431093662977, 2.6039726156939835, 0.9111834647879005, 2.181604398284172, -6.190735208354891, 0.2941290740244257, 0.5070025664567948, 1.883102568697446, -1.9875101002585143, -1.1639213944190927, -0.3637475581094622, 0.3711697955461782, -1.3895677635632455, -1.3041665954728676, 4.843304483667016, -1.9355399152174928, 12.428346473239362, -2.039483999749199, -4.661705722934567, 2.705252949825802, -5.148149790959433, -6.529853848879456, -3.5193243390135467, -7.537628122335375, -4.121825325088576, -5.500691135596531, -3.3764373857343166, 46.084021567641656, -4.9781481200084094, -2.014696998615614, -1.795214534290135, -1.6655910521599262, -4.557431365847588, 0.1954594584914733, -0.3115028864890337, 5.88110560646e-05, 0.0069340336881578, 1.2165679199299435, -1.6148404809832573, 0.6879064533023882, 2.014824602967128, 0.9639195406287193, 0.9758468470349908, 0.1584205981001392, -1.444046161621809, -1.4220066705888041, -4.024460322707892, -6.593411994746914, 12.930850874148309, -7.0373346555572684, -3.9785852856189017, -3.201210276584704, 35.41781680516898, -2.1977380392957917, -2.5629091416671876, -4.379201559970187, -4.673970391526819, -1.6486025833188869, 2.788485543318093, -1.1477363885943204, 2.8428612462989986, 1.4336005773220588, 1.6944743352755904]|733.6876831054687500|     16.00000000|[1222, 89, 0, 89]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[4.874399553703041, 6.01087518453598, -0.1806232588425063, -1.472308048531413, 2.887417377923903, 1.084003466628492, 2.2148062194325675, -6.317550244294107, -0.0042650695569647, 0.0340567868947983, 1.2405975785965855, -2.7875216754805296, -0.2319267774337717, -1.4199908585473895, -0.7755887608197886, -2.5984257767163217, -2.5457456512590007, 20.197446672692895, -3.1562048932448366, 11.257967311404645, -3.1366158480844653, -5.666106691486203, 1.809154336086788, -5.92455762882717, -7.17947915024054, -4.0393360620550816, -7.929282315736712, -4.390168088274077, -5.654154499243992, -3.4263462696039646, 46.12401176178352, -4.863633202873171, -1.8421106618837033, -1.5814411645010114, -1.427310785636565, -4.310516681075097, 0.4364969464751769, -0.0890073604136705, 0.1935982665890923, 0.1636628079973161, 1.3313940105638127, -1.5441565024852753, 0.7150332405327606, 1.8955388108547777, 0.9161275045423984, 0.9011377817764878, 0.0660540666088596, -1.543826110213995, -1.5186115319078692, -4.107645861357451, -6.6539888583338165, 12.900316209979355, -7.032804291375422, -3.936945357844234, -3.1238286210108592, 35.525910737439986, -2.067631009023308, -2.4228634392097597, -4.2440029817316995, -4.560011272802949, -1.5722590543925143, 2.813076335452497, -1.1838868477944642, 2.7458183802478016, 1.2889162327919532, 1.5343439238891006]|635.7692871093750000|     32.00000000|[1276, 93, 0, 93]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      26|[4.874399553703041, 6.01087518453598, -0.1806232588425063, -1.472308048531413, 2.887417377923903, 1.084003466628492, 2.2148062194325675, -6.317550244294107, -0.0042650695569647, 0.0340567868947983, 1.2405975785965855, -2.7875216754805296, -0.2319267774337717, -1.4199908585473895, -0.7755887608197886, -2.5984257767163217, -2.5457456512590007, 20.197446672692895, -3.1562048932448366, 11.257967311404645, -3.1366158480844653, -5.666106691486203, 1.809154336086788, -5.92455762882717, -7.17947915024054, -4.0393360620550816, -7.929282315736712, -4.390168088274077, -5.654154499243992, -3.4263462696039646, 46.12401176178352, -4.863633202873171, -1.8421106618837033, -1.5814411645010114, -1.427310785636565, -4.310516681075097, 0.4364969464751769, -0.0890073604136705, 0.1935982665890923, 0.1636628079973161, 1.3313940105638127, -1.5441565024852753, 0.7150332405327606, 1.8955388108547777, 0.9161275045423984, 0.9011377817764878, 0.0660540666088596, -1.543826110213995, -1.5186115319078692, -4.107645861357451, -6.6539888583338165, 12.900316209979355, -7.032804291375422, -3.936945357844234, -3.1238286210108592, 35.525910737439986, -2.067631009023308, -2.4228634392097597, -4.2440029817316995, -4.560011272802949, -1.5722590543925143, 2.813076335452497, -1.1838868477944642, 2.7458183802478016, 1.2889162327919532, 1.5343439238891006]|635.7692871093750000|     16.00000000|[1357, 99, 0, 99]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[4.874399553703041, 6.01087518453598, -0.1806232588425063, -1.472308048531413, 2.887417377923903, 1.084003466628492, 2.2148062194325675, -6.317550244294107, -0.0042650695569647, 0.0340567868947983, 1.2405975785965855, -2.7875216754805296, -0.2319267774337717, -1.4199908585473895, -0.7755887608197886, -2.5984257767163217, -2.5457456512590007, 20.197446672692895, -3.1562048932448366, 11.257967311404645, -3.1366158480844653, -5.666106691486203, 1.809154336086788, -5.92455762882717, -7.17947915024054, -4.0393360620550816, -7.929282315736712, -4.390168088274077, -5.654154499243992, -3.4263462696039646, 46.12401176178352, -4.863633202873171, -1.8421106618837033, -1.5814411645010114, -1.427310785636565, -4.310516681075097, 0.4364969464751769, -0.0890073604136705, 0.1935982665890923, 0.1636628079973161, 1.3313940105638127, -1.5441565024852753, 0.7150332405327606, 1.8955388108547777, 0.9161275045423984, 0.9011377817764878, 0.0660540666088596, -1.543826110213995, -1.5186115319078692, -4.107645861357451, -6.6539888583338165, 12.900316209979355, -7.032804291375422, -3.936945357844234, -3.1238286210108592, 35.525910737439986, -2.067631009023308, -2.4228634392097597, -4.2440029817316995, -4.560011272802949, -1.5722590543925143, 2.813076335452497, -1.1838868477944642, 2.7458183802478016, 1.2889162327919532, 1.5343439238891006]|635.7692871093750000|      8.00000000|[1437, 105, 0, 105]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
